Run,Antibody,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,read_mask (run),ReleaseDate,Sample Name,source_name,SRA Study,antibody_catalog_number,antibody_lot_number,antibody_name,antibody_vendor,Treatment,SAMPLE_TYPE
SRR058460,anti-VDR,ChIP-Seq,36,657077616,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10855,PRJNA128697,SAMN00016438,479025027,GM10855,lymphoblastoid,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX022390,GSM558630,Illumina Genome Analyzer II,GSM558630: GM10855_unstimulated_rep1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558630,"lymphoblastoid\, GM10855\, unstimulated",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,unstimulated,
SRR058461,anti-VDR,ChIP-Seq,36,553667868,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10855,PRJNA128697,SAMN00016439,391880646,GM10855,lymphoblastoid,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX022391,GSM558631,Illumina Genome Analyzer II,GSM558631: GM10855_unstimulated_rep2,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558631,"lymphoblastoid\, GM10855\, unstimulated",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,unstimulated,
SRR058462,anti-VDR,ChIP-Seq,36,662107968,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10855,PRJNA128697,SAMN00016440,485180223,GM10855,lymphoblastoid,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX022392,GSM558632,Illumina Genome Analyzer II,GSM558632: GM10855_vitaminD_rep1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558632,"lymphoblastoid\, GM10855\, vitamin D",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,calcitriol,
SRR058463,anti-VDR,ChIP-Seq,36,682740360,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10855,PRJNA128697,SAMN00016441,501926375,GM10855,lymphoblastoid,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX022393,GSM558633,Illumina Genome Analyzer II,GSM558633: GM10855_vitaminD_rep2,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558633,"lymphoblastoid\, GM10855\, vitamin D",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,calcitriol,
SRR058464,anti-VDR,ChIP-Seq,36,441509364,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10861,PRJNA128697,SAMN00016442,314959024,GM10861,lymphoblastoid,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX022394,GSM558634,Illumina Genome Analyzer II,GSM558634: GM10861_unstimulated_rep1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558634,"lymphoblastoid\, GM10861\, unstimulated",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,unstimulated,
SRR058465,anti-VDR,ChIP-Seq,36,365220936,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10861,PRJNA128697,SAMN00016443,266971081,GM10861,lymphoblastoid,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX022395,GSM558635,Illumina Genome Analyzer II,GSM558635: GM10861_unstimulated_rep2,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558635,"lymphoblastoid\, GM10861\, unstimulated",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,unstimulated,
SRR058466,anti-VDR,ChIP-Seq,36,478890216,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10861,PRJNA128697,SAMN00016444,356456549,GM10861,lymphoblastoid,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX022396,GSM558636,Illumina Genome Analyzer II,GSM558636: GM10861_vitaminD_rep1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558636,"lymphoblastoid\, GM10861\, vitamin D",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,calcitriol,
SRR058467,anti-VDR,ChIP-Seq,36,522942696,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10861,PRJNA128697,SAMN00016445,391241218,GM10861,lymphoblastoid,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX022397,GSM558637,Illumina Genome Analyzer II,GSM558637: GM10861_vitaminD_rep2,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558637,"lymphoblastoid\, GM10861\, vitamin D",SRP002673,sc-1008,B1809,VDR (C-20),Santa Cruz Biotechnology,calcitriol,
SRR058468,none,ChIP-Seq,36,540048816,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10855,PRJNA128697,SAMN00016446,402981554,GM10855,lymphoblastoid,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX022398,GSM558638,Illumina Genome Analyzer II,GSM558638: GM10855_Input,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558638,"lymphoblastoid\, GM10855\, input",SRP002673,,,,,,mixture of equal amounts of DNA from samples 01-04
SRR058469,none,ChIP-Seq,36,492570216,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM10861,PRJNA128697,SAMN00016447,373205139,GM10861,lymphoblastoid,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX022399,GSM558639,Illumina Genome Analyzer II,GSM558639: GM10861_Input,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,10,2010-06-24T00:00:00Z,GSM558639,"lymphoblastoid\, GM10861\, input",SRP002673,,,,,,mixture of equal amounts of DNA from samples 05-08
