"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000000419",-0.0489670197977548,4.3834031851674,0.0455881012706775,0.860860452125632,1,"DPM1"
"ENSG00000000457",-0.0531248384490537,5.54656150089393,0.291169421722903,0.755748637318616,1,"SCYL3"
"ENSG00000000460",-0.00517450886249731,4.25648230376764,0.000572970724365952,0.987411757566293,1,"C1orf112"
"ENSG00000000938",0.0912457287696067,7.19980939466019,1.38805113390168,0.262061228856088,1,"FGR"
"ENSG00000001036",-0.283832338253758,4.46829508274231,2.18455649221011,0.380056227123846,1,"FUCA2"
"ENSG00000001084",-0.061326985873397,6.6972727896632,0.233449313180474,0.643361616169154,1,"GCLC"
"ENSG00000001167",-0.0457371561129946,6.12723556442773,0.100204147366698,0.757806208782419,1,"NFYA"
"ENSG00000001461",0.11735698049162,6.3549111309081,2.19563536573749,0.294293443813513,1,"NIPAL3"
"ENSG00000001497",0.0514730444837338,6.06728409394886,0.266914309236787,0.720337438242414,1,"LAS1L"
"ENSG00000001561",-0.0880128555611442,5.60904668728805,0.221139836353891,0.642690039490903,1,"ENPP4"
"ENSG00000001629",-0.130197945659083,6.76230377594294,2.48912507163576,0.240275561340363,1,"ANKIB1"
"ENSG00000001630",0.0175145853420434,5.46869519538391,0.00862437527152122,0.936842425669724,1,"CYP51A1"
"ENSG00000001631",0.267558619602669,6.37977647536215,1.96219902928818,0.17489230042484,1,"KRIT1"
"ENSG00000002016",-0.186349382257727,4.69717339155824,1.79487058977196,0.462058607199389,1,"RAD52"
"ENSG00000002330",-0.0696736215136515,3.28314872819731,0.0560015517618998,0.867829494858526,1,"BAD"
"ENSG00000002549",-0.0119777803539537,5.5592185616344,0.0116694255241255,0.949725632967319,1,"LAP3"
"ENSG00000002586",-0.0031965936927791,7.13290840629533,0.000571997075029519,0.981129666239011,1,"CD99"
"ENSG00000002587",0.0678632237447584,2.71195269870534,0.0285997245252622,0.921828177453773,1,"HS3ST1"
"ENSG00000002822",0.109392060021425,5.69732040681922,0.209453009797389,0.651576478740814,1,"MAD1L1"
"ENSG00000002834",0.0483798321147559,8.47217580870005,0.525526794105981,0.475950744816895,1,"LASP1"
"ENSG00000002919",-0.00319341253753681,5.0719960954887,0.000422750110079048,0.988433189410003,1,"SNX11"
"ENSG00000002933",0.136842005413167,4.56616641173665,0.391020507502706,0.716321118062508,1,"TMEM176A"
"ENSG00000003056",-0.0172592683922872,7.42393654390248,0.0436913191032654,0.857176610837212,1,"M6PR"
"ENSG00000003393",-0.00846227234622758,6.10097662910585,0.00871367612074337,0.955642403756243,1,"ALS2"
"ENSG00000003400",-0.00231794220918651,6.08469000313055,0.000775104573167556,0.986142963307347,1,"CASP10"
