"","Entrez.gene.ID","Gene.symbol","Fold.Change","Adj.P","Gene.ontology"
"1","7056","THBD",3.21602949408463,3.2012328679911e-06,"0007165 // signal transduction // inferred from electronic annotation /// 0007565 // female pregnancy // inferred from electronic annotation /// 0007596 // blood coagulation // traceable author statement /// 0007599 // hemostasis // inferred from electronic annotation /// 0009790 // embryo development // inferred from electronic annotation /// 0010165 // response to X-ray // inferred from electronic annotation /// 0010544 // negative regulation of platelet activation // traceable author statement /// 0030195 // negative regulation of blood coagulation // traceable author statement /// 0032496 // response to lipopolysaccharide // inferred from electronic annotation /// 0050900 // leukocyte migration // traceable author statement /// 0051591 // response to cAMP // inferred from electronic annotation /// 0051918 // negative regulation of fibrinolysis // traceable author statement"
"2","84419","C15orf48",3.32004915152062,6.99854673592298e-06,""
"3","10602","CDC42EP3",2.38734558153201,1.766496513911e-05,"0007165 // signal transduction // traceable author statement /// 0008360 // regulation of cell shape // inferred from electronic annotation"
"4","6819","SULT1C2",3.14494641036183,1.766496513911e-05,"0006805 // xenobiotic metabolic process // traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation /// 0009308 // amine metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0050427 // 3'-phosphoadenosine 5'-phosphosulfate metabolic process // traceable author statement /// 0051923 // sulfation // inferred from direct assay"
"5","50486","G0S2",2.8422732093977,2.58704081704193e-05,"0006915 // apoptotic process // inferred from electronic annotation /// 0044255 // cellular lipid metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0097191 // extrinsic apoptotic signaling pathway // inferred from direct assay /// 2001238 // positive regulation of extrinsic apoptotic signaling pathway // inferred from direct assay"
"6","481","ATP1B1",2.17519088766867,3.78063494977817e-05,"0001666 // response to hypoxia // inferred from electronic annotation /// 0006810 // transport // traceable author statement /// 0006811 // ion transport // inferred from electronic annotation /// 0006813 // potassium ion transport // inferred from electronic annotation /// 0006814 // sodium ion transport // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007596 // blood coagulation // traceable author statement /// 0030001 // metal ion transport // inferred from electronic annotation /// 0034220 // ion transmembrane transport // traceable author statement /// 0035725 // sodium ion transmembrane transport // inferred from electronic annotation /// 0035725 // sodium ion transmembrane transport // traceable author statement /// 0050900 // leukocyte migration // traceable author statement /// 0055085 // transmembrane transport // traceable author statement"
"7","7482","WNT2B",1.74531100603046,5.31066219368543e-05,"0002062 // chondrocyte differentiation // inferred from expression pattern /// 0002088 // lens development in camera-type eye // inferred from sequence or structural similarity /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0008584 // male gonad development // inferred from expression pattern /// 0016055 // Wnt signaling pathway // inferred from mutant phenotype /// 0021871 // forebrain regionalization // inferred from expression pattern /// 0030182 // neuron differentiation // not recorded /// 0030182 // neuron differentiation // inferred from sequence or structural similarity /// 0030308 // negative regulation of cell growth // inferred from sequence or structural similarity /// 0030308 // negative regulation of cell growth // inferred from electronic annotation /// 0045165 // cell fate commitment // not recorded /// 0060070 // canonical Wnt signaling pathway // inferred from electronic annotation /// 0060492 // lung induction // inferred from electronic annotation /// 0060638 // mesenchymal-epithelial cell signaling // inferred from electronic annotation /// 0061072 // iris morphogenesis // inferred from sequence or structural similarity /// 0061303 // cornea development in camera-type eye // inferred from sequence or structural similarity /// 0071425 // hematopoietic stem cell proliferation // inferred from direct assay /// 0090190 // positive regulation of branching involved in ureteric bud morphogenesis // inferred from electronic annotation /// 0090263 // positive regulation of canonical Wnt signaling pathway // inferred from direct assay"
"8","3708","ITPR1",2.29239510157676,5.31066219368543e-05,"0001666 // response to hypoxia // inferred from direct assay /// 0006112 // energy reserve metabolic process // traceable author statement /// 0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006816 // calcium ion transport // non-traceable author statement /// 0006915 // apoptotic process // inferred from electronic annotation /// 0007165 // signal transduction // non-traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007173 // epidermal growth factor receptor signaling pathway // traceable author statement /// 0007202 // activation of phospholipase C activity // traceable author statement /// 0007596 // blood coagulation // traceable author statement /// 0008219 // cell death // inferred from electronic annotation /// 0008543 // fibroblast growth factor receptor signaling pathway // traceable author statement /// 0009791 // post-embryonic development // inferred from electronic annotation /// 0030168 // platelet activation // traceable author statement /// 0032469 // endoplasmic reticulum calcium ion homeostasis // inferred from electronic annotation /// 0034220 // ion transmembrane transport // inferred from electronic annotation /// 0038095 // Fc-epsilon receptor signaling pathway // traceable author statement /// 0038096 // Fc-gamma receptor signaling pathway involved in phagocytosis // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0045087 // innate immune response // traceable author statement /// 0048011 // neurotrophin TRK receptor signaling pathway // traceable author statement /// 0048016 // inositol phosphate-mediated signaling // inferred from electronic annotation /// 0048016 // inositol phosphate-mediated signaling // inferred from sequence or structural similarity /// 0048016 // inositol phosphate-mediated signaling // traceable author statement /// 0050796 // regulation of insulin secretion // traceable author statement /// 0050882 // voluntary musculoskeletal movement // inferred from electronic annotation /// 0051209 // release of sequestered calcium ion into cytosol // inferred from sequence or structural similarity /// 0055085 // transmembrane transport // inferred from electronic annotation /// 0070059 // intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress // inferred from sequence or structural similarity /// 0070588 // calcium ion transmembrane transport // inferred from electronic annotation"
"9","54518","APBB1IP",1.75157928370912,5.31066219368543e-05,"0007165 // signal transduction // inferred from electronic annotation /// 0007596 // blood coagulation // traceable author statement /// 0030168 // platelet activation // traceable author statement"
"10","2861 /// 80343","GPR37 /// SEL1L2",1.7144210524857,5.31066219368543e-05,"0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation"
"11","","",1.63490556286764,6.95760055437797e-05,""
"12","29922","NME7",2.00585736556112,7.57353684138182e-05,"0003351 // epithelial cilium movement // inferred from electronic annotation /// 0006165 // nucleoside diphosphate phosphorylation // inferred from electronic annotation /// 0006183 // GTP biosynthetic process // inferred from electronic annotation /// 0006228 // UTP biosynthetic process // inferred from electronic annotation /// 0006241 // CTP biosynthetic process // inferred from electronic annotation /// 0007368 // determination of left/right symmetry // inferred from electronic annotation /// 0007420 // brain development // inferred from electronic annotation /// 0009117 // nucleotide metabolic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0042073 // intraciliary transport // inferred from electronic annotation /// 0060830 // ciliary receptor clustering involved in smoothened signaling pathway // inferred from electronic annotation /// 0060972 // left/right pattern formation // inferred from electronic annotation"
"13","55214","LEPREL1",-1.50552514868152,8.75248514395027e-05,"0008285 // negative regulation of cell proliferation // inferred from direct assay /// 0019511 // peptidyl-proline hydroxylation // inferred from direct assay /// 0030198 // extracellular matrix organization // traceable author statement /// 0032963 // collagen metabolic process // inferred from direct assay /// 0055114 // oxidation-reduction process // inferred from electronic annotation"
"14","3418","IDH2",1.60879049722437,8.8966370230996e-05,"0005975 // carbohydrate metabolic process // non-traceable author statement /// 0006097 // glyoxylate cycle // inferred from electronic annotation /// 0006099 // tricarboxylic acid cycle // traceable author statement /// 0006102 // isocitrate metabolic process // inferred from sequence or structural similarity /// 0006103 // 2-oxoglutarate metabolic process // inferred from sequence or structural similarity /// 0008152 // metabolic process // non-traceable author statement /// 0044237 // cellular metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0055114 // oxidation-reduction process // inferred from electronic annotation"
"15","1645 /// 1646 /// 101930400","AKR1C1 /// AKR1C2 /// LOC101930400",1.75952227174295,0.000108325018287574,"0001523 // retinoid metabolic process // traceable author statement /// 0006629 // lipid metabolic process // inferred from electronic annotation /// 0006693 // prostaglandin metabolic process // inferred from direct assay /// 0006805 // xenobiotic metabolic process // non-traceable author statement /// 0007186 // G-protein coupled receptor signaling pathway // inferred from direct assay /// 0007586 // digestion // inferred from direct assay /// 0007603 // phototransduction, visible light // traceable author statement /// 0008202 // steroid metabolic process // inferred from direct assay /// 0008206 // bile acid metabolic process // inferred from direct assay /// 0008284 // positive regulation of cell proliferation // inferred from direct assay /// 0015721 // bile acid and bile salt transport // traceable author statement /// 0030299 // intestinal cholesterol absorption // traceable author statement /// 0030855 // epithelial cell differentiation // inferred from direct assay /// 0030855 // epithelial cell differentiation // inferred from expression pattern /// 0034694 // response to prostaglandin // inferred from direct assay /// 0042448 // progesterone metabolic process // inferred from direct assay /// 0042574 // retinal metabolic process // inferred from direct assay /// 0042632 // cholesterol homeostasis // traceable author statement /// 0044597 // daunorubicin metabolic process // inferred from mutant phenotype /// 0044598 // doxorubicin metabolic process // inferred from mutant phenotype /// 0046683 // response to organophosphorus // inferred from expression pattern /// 0051260 // protein homooligomerization // inferred from direct assay /// 0051897 // positive regulation of protein kinase B signaling // inferred from direct assay /// 0055114 // oxidation-reduction process // inferred from direct assay /// 0071395 // cellular response to jasmonic acid stimulus // inferred from direct assay"
"16","10443","N4BP2L2",-2.05071105220181,0.000108325018287574,"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity /// 1902035 // positive regulation of hematopoietic stem cell proliferation // inferred from mutant phenotype /// 1902037 // negative regulation of hematopoietic stem cell differentiation // inferred from mutant phenotype"
"17","27123","DKK2",1.89183171742313,0.000132263913373882,"0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0016055 // Wnt signaling pathway // inferred from electronic annotation /// 0030178 // negative regulation of Wnt signaling pathway // inferred from electronic annotation /// 0090090 // negative regulation of canonical Wnt signaling pathway // inferred from direct assay /// 0090263 // positive regulation of canonical Wnt signaling pathway // inferred from direct assay"
"18","130271","PLEKHH2",-1.55039941923741,0.000132750864741215,"0030835 // negative regulation of actin filament depolymerization // inferred from sequence or structural similarity"
"19","1827","RCAN1",-1.69865361493419,0.00013491307440314,"0006355 // regulation of transcription, DNA-templated // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007417 // central nervous system development // traceable author statement /// 0007519 // skeletal muscle tissue development // inferred from electronic annotation /// 0008015 // blood circulation // traceable author statement /// 0009612 // response to mechanical stimulus // inferred from electronic annotation /// 0019722 // calcium-mediated signaling // inferred from electronic annotation /// 0043627 // response to estrogen // inferred from electronic annotation /// 0043666 // regulation of phosphoprotein phosphatase activity // inferred from electronic annotation /// 0048741 // skeletal muscle fiber development // inferred from electronic annotation /// 0051151 // negative regulation of smooth muscle cell differentiation // inferred from electronic annotation"
"20","11163 /// 170688 /// 440672","NUDT4 /// NUDT4P1 /// NUDT4P2",1.40063362625504,0.00013491307440314,"0008152 // metabolic process // inferred from electronic annotation /// 0009187 // cyclic nucleotide metabolic process // traceable author statement /// 0019722 // calcium-mediated signaling // traceable author statement /// 0019935 // cyclic-nucleotide-mediated signaling // traceable author statement /// 0035556 // intracellular signal transduction // non-traceable author statement /// 0043647 // inositol phosphate metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0046831 // regulation of RNA export from nucleus // traceable author statement /// 0046907 // intracellular transport // traceable author statement"
