"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000000003",-0.375468155418008,0.092665139220891,1.11756305578921,0.304620530008859,1,"TSPAN6"
"ENSG00000000419",-0.061805886154136,5.32683958385168,0.492165585603143,0.492059840762607,1,"DPM1"
"ENSG00000000457",0.028366142169749,4.16144962904887,0.0854643593504297,0.773414264896663,1,"SCYL3"
"ENSG00000000460",0.0581516045893267,4.60128669107059,0.228567183145256,0.638423659505243,1,"C1orf112"
"ENSG00000000938",0.194654416897726,5.12208815607984,2.79690349865025,0.111980908492286,1,"FGR"
"ENSG00000000971",0.273719330413634,-0.37854791384348,0.816035826041786,0.378438915755171,1,"CFH"
"ENSG00000001036",-0.0398518464519722,6.68458147344168,0.327942818866304,0.574056317819179,1,"FUCA2"
"ENSG00000001084",0.0310045295564251,3.77097250440542,0.0500449898426765,0.82553965875314,1,"GCLC"
"ENSG00000001167",0.0921765842487226,6.42622039857783,0.659529147668718,0.427484402786993,1,"NFYA"
"ENSG00000001460",-0.0428879003136105,3.00769199601293,0.121299324430599,0.73172623707301,1,"STPG1"
"ENSG00000001461",0.0485815026895569,5.13173892151845,0.252228978115196,0.621683396435878,1,"NIPAL3"
"ENSG00000001497",-0.0264850562493639,6.00260129450402,0.0771661591437599,0.784384966709166,1,"LAS1L"
"ENSG00000001561",0.09094846746266,3.99041525304233,0.437222562986698,0.516958217642363,1,"ENPP4"
"ENSG00000001617",-0.0305034239919796,3.51317988092741,0.03985611080662,0.844031522232404,1,"SEMA3F"
"ENSG00000001629",0.0114951456945903,5.06270563723375,0.00575066976416947,0.94040004233846,1,"ANKIB1"
"ENSG00000001630",0.00393232995694408,7.91814276177164,0.00107912389380218,0.974160781948947,1,"CYP51A1"
"ENSG00000001631",0.00808148326156597,5.59885232516105,0.0146052355268686,0.905165753644997,1,"KRIT1"
"ENSG00000002016",0.220398629410701,2.74005346706761,0.962977477211557,0.339625641576253,1,"RAD52"
"ENSG00000002330",-0.155083041560303,4.0377782626835,2.4392777612961,0.135983703365578,1,"BAD"
"ENSG00000002549",0.0996354644327752,6.05421249058302,1.01290668403531,0.327731809957321,1,"LAP3"
"ENSG00000002586",0.0831574618727103,7.19049434104874,1.20927078542892,0.286168644385891,1,"CD99"
"ENSG00000002726",-0.0692915953469284,5.77470680142347,0.139602389739086,0.713102067701998,1,"AOC1"
"ENSG00000002746",0.437151512517701,-0.570751581702941,0.327716838536783,0.574187094585221,1,"HECW1"
"ENSG00000002822",-0.209710842666659,5.35430941037412,3.10819601128686,0.0951077674297005,1,"MAD1L1"
"ENSG00000002834",0.0490366838062693,7.95720380817986,0.602024068694832,0.448022792606945,1,"LASP1"
"ENSG00000002919",-0.0845438783776259,5.15791775188814,0.771060275937392,0.39162117746694,1,"SNX11"
"ENSG00000002933",0.122703834995219,2.06239571510636,0.383015806777049,0.543855688678298,1,"TMEM176A"
"ENSG00000003056",0.0228768409321183,7.14089666081908,0.0732692584776507,0.789757472114289,1,"M6PR"
"ENSG00000003096",0.0237344262121847,1.51955833651661,0.00991746850720561,0.921788792301866,1,"KLHL13"
"ENSG00000003137",0.230307826136922,1.16493021600329,0.275880408276456,0.605913983229728,1,"CYP26B1"
"ENSG00000003147",-0.0413274847927126,4.17678164973034,0.0646895555450392,0.802155073291605,1,"ICA1"
"ENSG00000003249",-0.0883719524499763,2.14813252853405,0.287657470981319,0.598384054795804,1,"DBNDD1"
"ENSG00000003393",0.0667455361750979,4.6570569292074,0.483043803009005,0.496045591100599,1,"ALS2"
"ENSG00000003400",0.0467629790942739,4.59148605928093,0.195938439235855,0.663366533924326,1,"CASP10"
"ENSG00000003402",0.343011808451368,7.28875177339515,13.064333181037,0.00201975146279196,0.37838998956375,"CFLAR"
"ENSG00000003436",-0.0120519749996739,1.71617908551463,0.0014448508874845,0.970103023537696,1,"TFPI"
"ENSG00000003509",0.207794962712493,3.83980394624748,3.72099562681886,0.0698797357249306,1,"NDUFAF7"
"ENSG00000003756",-0.0286320822221664,7.49087875706821,0.0723424583747402,0.791057747362182,1,"RBM5"
"ENSG00000003987",0.12617694790984,2.60321761964494,0.364400574882522,0.553709649672643,1,"MTMR7"
"ENSG00000003989",0.390472141039956,2.71195392943515,2.57393087177793,0.126282630337423,1,"SLC7A2"
"ENSG00000004059",-0.0261996551089932,6.09576618125838,0.115628316358674,0.737816196038659,1,"ARF5"
"ENSG00000004139",-0.289065895115412,1.9786414788453,1.28302165432299,0.272408049577643,1,"SARM1"
"ENSG00000004142",0.0526623377463995,5.90311961175956,0.555964123719147,0.465651614189368,1,"POLDIP2"
"ENSG00000004399",-0.0671711522613317,7.74897443931192,0.766748530502184,0.392920912826158,1,"PLXND1"
"ENSG00000004455",0.0264883219969287,8.47646874781864,0.107887261427897,0.74640580215292,1,"AK2"
"ENSG00000004468",0.407073474420746,5.15305568878973,4.54525115536267,0.0472466215900207,1,"CD38"
"ENSG00000004478",-0.216297737236751,4.66434598477929,1.69463777732722,0.209633401860066,1,"FKBP4"
"ENSG00000004487",0.0102030687421181,6.78114592152319,0.0290928625548025,0.866494047820081,1,"KDM1A"
"ENSG00000004534",-0.0432317877657267,6.97657462719877,0.109115090129333,0.745020940885544,1,"RBM6"
"ENSG00000004660",0.0238714062550031,2.27829760146539,0.0177226240016161,0.895591167044801,1,"CAMKK1"
"ENSG00000004700",0.0687129961082029,5.44310391457769,0.247079378449676,0.625240038580197,1,"RECQL"
