"","Pathway","N","DE","P.DE","FDR.DE"
"path:hsa00232","Caffeine metabolism",3,0,1,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",3,3,0.00304319867548195,0.0315060568755778
"path:hsa00470","D-Amino acid metabolism",3,1,0.374922143853813,0.628440926840677
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",3,1,0.374922143853813,0.628440926840677
"path:hsa00780","Biotin metabolism",3,1,0.374922143853813,0.628440926840677
"path:hsa00785","Lipoic acid metabolism",3,0,1,1
"path:hsa03265","Virion - Lyssavirus",3,1,0.374922143853813,0.628440926840677
"path:hsa03267","Virion - Adenovirus",3,0,1,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,1,0.465555106655701,0.703327886449815
"path:hsa03264","Virion - Flavivirus",4,0,1,1
"path:hsa00440","Phosphonate and phosphinate metabolism",5,1,0.543051623872418,0.773903528757454
"path:hsa03260","Virion - Human immunodeficiency virus",5,0,1,1
"path:hsa00750","Vitamin B6 metabolism",6,0,1,1
"path:hsa00740","Riboflavin metabolism",7,0,1,1
"path:hsa04122","Sulfur relay system",8,1,0.714417175355901,0.888603695142323
"path:hsa00360","Phenylalanine metabolism",9,3,0.130209680403357,0.344615093999863
"path:hsa03266","Virion - Herpesvirus",9,2,0.383049529125574,0.636006765340576
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",10,5,0.00850129513395721,0.0636692741947434
"path:hsa00730","Thiamine metabolism",10,0,1,1
"path:hsa00920","Sulfur metabolism",10,1,0.79125360607,0.938476845005035
"path:hsa04950","Maturity onset diabetes of the young",10,0,1,1
"path:hsa00053","Ascorbate and aldarate metabolism",11,1,0.821533992412345,0.960730781824403
"path:hsa00430","Taurine and hypotaurine metabolism",11,0,1,1
"path:hsa00120","Primary bile acid biosynthesis",12,1,0.847423580484566,0.978010165018253
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",12,5,0.020791512562316,0.121122809096324
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",12,3,0.246955837789732,0.511343852364622
"path:hsa03450","Non-homologous end-joining",12,0,1,1
"path:hsa00910","Nitrogen metabolism",13,2,0.581800688278794,0.80063836949684
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",14,3,0.331411634187059,0.595605702141523
