Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR058460	19.397191234055498	42.0	36.0	9.090909090909092	18252156.0
SRR058461	22.304569881749288	45.0	36.0	0.0	15379663.0
SRR058462	17.07026799213105	42.0	36.0	0.0	18391888.0
SRR058463	16.32593748698811	41.0	36.0	0.0	18965010.0
SRR058464	7.919513846987186	39.0	36.0	0.0	12264149.0
SRR058465	7.136272843007987	45.0	36.0	9.090909090909092	10145026.0
SRR058466	8.429885203912363	44.0	36.0	9.090909090909092	13302506.0
SRR058467	8.041919524438228	43.0	36.0	0.0	14526186.0
SRR058468	10.403103469508935	41.0	36.0	9.090909090909092	15001356.0
SRR058469	6.181979650858921	40.0	36.0	9.090909090909092	13682506.0
