Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR4828890	7.4673892252558005	41.0	51.0	0.0	10146582.0
SRR4828891	4.389587762965064	41.0	51.0	0.0	10602580.0
SRR4828892	7.4509628105791705	42.0	51.0	0.0	11288574.0
SRR4828893	6.3955321777056895	41.0	51.0	0.0	10347179.0
SRR4828894	8.130852325222776	43.0	51.0	0.0	9919996.0
SRR4828895	8.421505348864756	43.0	51.0	0.0	7993264.0
SRR4828896	11.64914887343241	42.0	51.0	0.0	38513430.0
SRR4828897	13.004958499608406	43.0	51.0	0.0	57839147.0
SRR4828898	14.448116811532103	43.0	51.0	0.0	9693637.0
SRR4828899	7.953641735022515	42.0	51.0	0.0	9382374.0
SRR4828900	8.198620441857472	42.0	51.0	0.0	11262661.0
SRR4828901	7.420493342878672	43.0	51.0	0.0	9911560.0
