Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR2042580	49.141929855004896	49.0	51.0	9.090909090909092	32296190.0
SRR2042581	50.67327985930199	49.0	51.0	18.181818181818183	37986407.0
SRR2042582	50.98899276289698	50.0	51.0	18.181818181818183	40326273.0
SRR2042583	50.40883030172263	51.0	51.0	18.181818181818183	39694459.0
SRR2042584	45.66908966504732	49.0	51.0	9.090909090909092	26407049.0
SRR2042585	44.13013361828091	49.0	51.0	9.090909090909092	21613073.0
SRR2042586	51.00992946927694	50.0	51.0	18.181818181818183	37642055.0
SRR2042587	47.22309161165498	50.0	51.0	9.090909090909092	27373823.0
SRR2042588	48.117692604305184	50.0	51.0	9.090909090909092	29828746.0
SRR2042589	49.10442316713911	50.0	51.0	9.090909090909092	34153313.0
SRR2042590	43.982835237616435	49.0	51.0	9.090909090909092	24165620.0
SRR2042591	45.19179380546977	50.0	51.0	9.090909090909092	24745039.0
SRR2042592	50.7246721077039	50.0	51.0	18.181818181818183	40270125.0
SRR2042593	49.55027701234849	49.0	51.0	9.090909090909092	32894857.0
SRR2042594	48.55978328800483	49.0	51.0	9.090909090909092	31467531.0
SRR2042595	50.422259614991994	49.0	51.0	18.181818181818183	34210130.0
SRR2042596	44.51042512639254	49.0	51.0	9.090909090909092	23409430.0
SRR2042597	59.454203713424725	49.0	51.0	18.181818181818183	89303032.0
