Sample	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
SRR2042580	0.09	49.141929855004896	49.0	51.0	9.090909090909092	32296190.0		
SRR2042580_trimBoth		48.216638701563966	49.0	49.52890115653965	9.090909090909092	32266252.0	86.24385317513791	27827659.0
SRR2042580_trimQuality	0.0	48.216638701563966	49.0	49.52890115653965	9.090909090909092	32266252.0		
SRR2042581	0.09	50.67327985930199	49.0	51.0	18.181818181818183	37986407.0		
SRR2042581_trimBoth		49.68417942485534	49.0	49.550724915691056	9.090909090909092	37950896.0	87.11554530886438	33061130.0
SRR2042581_trimQuality	0.0	49.68417942485534	49.0	49.550724915691056	9.090909090909092	37950896.0		
SRR2042582	0.11	50.98899276289698	50.0	51.0	18.181818181818183	40326273.0		
SRR2042582_trimBoth		50.16672791243906	50.0	49.548183577337696	18.181818181818183	40282750.0	85.65868516921014	34505674.0
SRR2042582_trimQuality	0.0	50.16672791243906	50.0	49.548183577337696	18.181818181818183	40282750.0		
SRR2042583	0.1	50.40883030172263	51.0	51.0	18.181818181818183	39694459.0		
SRR2042583_trimBoth		49.52588985452617	51.0	49.49870504202331	9.090909090909092	39655727.0	84.65532355515762	33570684.0
SRR2042583_trimQuality	0.0	49.52588985452617	51.0	49.49870504202331	9.090909090909092	39655727.0		
SRR2042584	0.14	45.66908966504732	49.0	51.0	9.090909090909092	26407049.0		
SRR2042584_trimBoth		44.87291817700706	49.0	49.47602502786134	9.090909090909092	26370771.0	84.7938234342864	22360785.0
SRR2042584_trimQuality	0.0	44.87291817700706	49.0	49.47602502786134	9.090909090909092	26370771.0		
SRR2042585	0.13	44.13013361828091	49.0	51.0	9.090909090909092	21613073.0		
SRR2042585_trimBoth		43.22623257246255	49.0	49.53204476498918	9.090909090909092	21584368.0	86.9925355238569	18776789.0
SRR2042585_trimQuality	0.0	43.22623257246255	49.0	49.53204476498918	9.090909090909092	21584368.0		
SRR2042586	0.08	51.00992946927694	50.0	51.0	18.181818181818183	37642055.0		
SRR2042586_trimBoth		50.13127151935663	49.0	49.56294766627988	18.181818181818183	37610187.0	87.6731349408074	32974030.0
SRR2042586_trimQuality	0.0	50.13127151935663	49.0	49.56294766627988	18.181818181818183	37610187.0		
SRR2042587	0.08	47.22309161165498	50.0	51.0	9.090909090909092	27373823.0		
SRR2042587_trimBoth		46.42482187482566	50.0	49.571968253945045	9.090909090909092	27352060.0	85.8370777191919	23478209.0
SRR2042587_trimQuality	0.0	46.42482187482566	50.0	49.571968253945045	9.090909090909092	27352060.0		
SRR2042588	0.11	48.117692604305184	50.0	51.0	9.090909090909092	29828746.0		
SRR2042588_trimBoth		47.295051983313684	50.0	49.543177805914176	9.090909090909092	29796118.0	86.79414210938485	25861285.0
SRR2042588_trimQuality	0.0	47.295051983313684	50.0	49.543177805914176	9.090909090909092	29796118.0		
SRR2042589	0.1	49.10442316713911	50.0	51.0	9.090909090909092	34153313.0		
SRR2042589_trimBoth		48.2513944811489	50.0	49.55794561113915	9.090909090909092	34117942.0	85.61512297547138	29210118.0
SRR2042589_trimQuality	0.0	48.2513944811489	50.0	49.55794561113915	9.090909090909092	34117942.0		
SRR2042590	0.13	43.982835237616435	49.0	51.0	9.090909090909092	24165620.0		
SRR2042590_trimBoth		43.25184000206191	49.0	49.495658795052044	9.090909090909092	24133507.0	84.95108066970954	20501675.0
SRR2042590_trimQuality	0.0	43.25184000206191	49.0	49.495658795052044	9.090909090909092	24133507.0		
