Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR2042580_trimBoth	32266252.0	27827659.0	4438593.0	86.24385317513791
SRR2042581_trimBoth	37950896.0	33061130.0	4889766.0	87.11554530886438
SRR2042582_trimBoth	40282750.0	34505674.0	5777076.0	85.65868516921014
SRR2042583_trimBoth	39655727.0	33570684.0	6085043.0	84.65532355515762
SRR2042584_trimBoth	26370771.0	22360785.0	4009986.0	84.7938234342864
SRR2042585_trimBoth	21584368.0	18776789.0	2807579.0	86.9925355238569
SRR2042586_trimBoth	37610187.0	32974030.0	4636157.0	87.6731349408074
SRR2042587_trimBoth	27352060.0	23478209.0	3873851.0	85.8370777191919
SRR2042588_trimBoth	29796118.0	25861285.0	3934833.0	86.79414210938485
SRR2042589_trimBoth	34117942.0	29210118.0	4907824.0	85.61512297547138
SRR2042590_trimBoth	24133507.0	20501675.0	3631832.0	84.95108066970954
SRR2042591_trimBoth	24714151.0	21283843.0	3430308.0	86.12006538278413
SRR2042592_trimBoth	40233745.0	34127961.0	6105784.0	84.8242215582964
SRR2042593_trimBoth	32864346.0	28331968.0	4532378.0	86.20882947130607
SRR2042594_trimBoth	31434297.0	27016236.0	4418061.0	85.94509366632249
SRR2042595_trimBoth	34172716.0	29962483.0	4210233.0	87.67954821033248
SRR2042596_trimBoth	23376852.0	20034127.0	3342725.0	85.70070512488167
SRR2042597_trimBoth	89183624.0	75969570.0	13214054.0	85.1833179598084
