Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SRR2042580	32296190.0	32266252.0	99.91	29938.0	0.09
SRR2042580_trimQuality	32266252.0	32266252.0	100.0	0.0	0.0
SRR2042581	37986407.0	37950896.0	99.91	35511.0	0.09
SRR2042581_trimQuality	37950896.0	37950896.0	100.0	0.0	0.0
SRR2042582	40326273.0	40282750.0	99.89	43523.0	0.11
SRR2042582_trimQuality	40282750.0	40282750.0	100.0	0.0	0.0
SRR2042583	39694459.0	39655727.0	99.9	38732.0	0.1
SRR2042583_trimQuality	39655727.0	39655727.0	100.0	0.0	0.0
SRR2042584	26407049.0	26370771.0	99.86	36278.0	0.14
SRR2042584_trimQuality	26370771.0	26370771.0	100.0	0.0	0.0
SRR2042585	21613073.0	21584368.0	99.87	28705.0	0.13
SRR2042585_trimQuality	21584368.0	21584368.0	100.0	0.0	0.0
SRR2042586	37642055.0	37610187.0	99.92	31868.0	0.08
SRR2042586_trimQuality	37610187.0	37610187.0	100.0	0.0	0.0
SRR2042587	27373823.0	27352060.0	99.92	21763.0	0.08
SRR2042587_trimQuality	27352060.0	27352060.0	100.0	0.0	0.0
SRR2042588	29828746.0	29796118.0	99.89	32628.0	0.11
SRR2042588_trimQuality	29796118.0	29796118.0	100.0	0.0	0.0
SRR2042589	34153313.0	34117942.0	99.9	35371.0	0.1
SRR2042589_trimQuality	34117942.0	34117942.0	100.0	0.0	0.0
SRR2042590	24165620.0	24133507.0	99.87	32113.0	0.13
SRR2042590_trimQuality	24133507.0	24133507.0	100.0	0.0	0.0
SRR2042591	24745039.0	24714151.0	99.88	30888.0	0.12
SRR2042591_trimQuality	24714151.0	24714151.0	100.0	0.0	0.0
SRR2042592	40270125.0	40233745.0	99.91	36380.0	0.09
SRR2042592_trimQuality	40233745.0	40233745.0	100.0	0.0	0.0
SRR2042593	32894857.0	32864346.0	99.91	30511.0	0.09
SRR2042593_trimQuality	32864346.0	32864346.0	100.0	0.0	0.0
SRR2042594	31467531.0	31434297.0	99.89	33234.0	0.11
SRR2042594_trimQuality	31434297.0	31434297.0	100.0	0.0	0.0
SRR2042595	34210130.0	34172716.0	99.89	37414.0	0.11
SRR2042595_trimQuality	34172716.0	34172716.0	100.0	0.0	0.0
SRR2042596	23409430.0	23376852.0	99.86	32578.0	0.14
SRR2042596_trimQuality	23376852.0	23376852.0	100.0	0.0	0.0
SRR2042597	89303032.0	89183624.0	99.87	119408.0	0.13
SRR2042597_trimQuality	89183624.0	89183624.0	100.0	0.0	0.0
