Sample	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
SRR2042580	0.09	49.141929855004896	49.0	51.0	9.090909090909092	32296190.0		
SRR2042580_trimBoth		48.163193063444254	49.0	49.506611468536676	9.090909090909092	32217275.0	86.37142961346048	27826521.0
SRR2042580_trimQuality	0.15	48.216638701563966	49.0	49.52890115653965	9.090909090909092	32266252.0		
SRR2042581	0.09	50.67327985930199	49.0	51.0	18.181818181818183	37986407.0		
SRR2042581_trimBoth		49.65887114153528	49.0	49.5217222956594	9.090909090909092	37923570.0	87.17365216407632	33059361.0
SRR2042581_trimQuality	0.07	49.68417942485534	49.0	49.550724915691056	9.090909090909092	37950896.0		
SRR2042582	0.11	50.98899276289698	50.0	51.0	18.181818181818183	40326273.0		
SRR2042582_trimBoth		50.16234216838599	50.0	49.52008363756239	18.181818181818183	40263249.0	85.69658399897136	34504229.0
SRR2042582_trimQuality	0.05	50.16672791243906	50.0	49.548183577337696	18.181818181818183	40282750.0		
SRR2042583	0.1	50.40883030172263	51.0	51.0	18.181818181818183	39694459.0		
SRR2042583_trimBoth		49.44638488406664	51.0	49.49740423985317	9.090909090909092	39578965.0	84.81941354454317	33570646.0
SRR2042583_trimQuality	0.19	49.52588985452617	51.0	49.49870504202331	9.090909090909092	39655727.0		
SRR2042584	0.14	45.66908966504732	49.0	51.0	9.090909090909092	26407049.0		
SRR2042584_trimBoth		44.87320900694123	49.0	49.45590938737575	9.090909090909092	26365068.0	84.80886527582634	22359915.0
SRR2042584_trimQuality	0.02	44.87291817700706	49.0	49.47602502786134	9.090909090909092	26370771.0		
SRR2042585	0.13	44.13013361828091	49.0	51.0	9.090909090909092	21613073.0		
SRR2042585_trimBoth		43.22891640875807	49.0	49.50606545668507	9.090909090909092	21577353.0	87.01660949793055	18775881.0
SRR2042585_trimQuality	0.03	43.22623257246255	49.0	49.53204476498918	9.090909090909092	21584368.0		
SRR2042586	0.08	51.00992946927694	50.0	51.0	18.181818181818183	37642055.0		
SRR2042586_trimBoth		50.12665642500997	49.0	49.538226976058816	18.181818181818183	37590784.0	87.7142865655582	32972488.0
SRR2042586_trimQuality	0.05	50.13127151935663	49.0	49.56294766627988	18.181818181818183	37610187.0		
SRR2042587	0.08	47.22309161165498	50.0	51.0	9.090909090909092	27373823.0		
SRR2042587_trimBoth		46.41045569303455	50.0	49.54558447890181	9.090909090909092	27334973.0	85.88660760703878	23477081.0
SRR2042587_trimQuality	0.06	46.42482187482566	50.0	49.571968253945045	9.090909090909092	27352060.0		
SRR2042588	0.11	48.117692604305184	50.0	51.0	9.090909090909092	29828746.0		
SRR2042588_trimBoth		47.28139531032617	50.0	49.52396045102452	9.090909090909092	29775942.0	86.84947398137732	25860249.0
SRR2042588_trimQuality	0.07	47.295051983313684	50.0	49.543177805914176	9.090909090909092	29796118.0		
SRR2042589	0.1	49.10442316713911	50.0	51.0	9.090909090909092	34153313.0		
SRR2042589_trimBoth		48.21987135188726	50.0	49.54487508557917	9.090909090909092	34083935.0	85.69946222465217	29209749.0
SRR2042589_trimQuality	0.1	48.2513944811489	50.0	49.55794561113915	9.090909090909092	34117942.0		
SRR2042590	0.13	43.982835237616435	49.0	51.0	9.090909090909092	24165620.0		
SRR2042590_trimBoth		43.23513512770685	49.0	49.473612524174314	9.090909090909092	24121159.0	84.99101971012254	20500819.0
SRR2042590_trimQuality	0.05	43.25184000206191	49.0	49.495658795052044	9.090909090909092	24133507.0		
SRR2042591	0.12	45.19179380546977	50.0	51.0	9.090909090909092	24745039.0		
SRR2042591_trimBoth		44.3707394677767	50.0	49.45677218497	9.090909090909092	24703076.0	86.15512902117939	21282967.0
SRR2042591_trimQuality	0.04	44.38030887449999	50.0	49.47801581369313	9.090909090909092	24714151.0		
