Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR2042580_trimBoth	32217275.0	27826521.0	4390754.0	86.37142961346048
SRR2042581_trimBoth	37923570.0	33059361.0	4864209.0	87.17365216407632
SRR2042582_trimBoth	40263249.0	34504229.0	5759020.0	85.69658399897136
SRR2042583_trimBoth	39578965.0	33570646.0	6008319.0	84.81941354454317
SRR2042584_trimBoth	26365068.0	22359915.0	4005153.0	84.80886527582634
SRR2042585_trimBoth	21577353.0	18775881.0	2801472.0	87.01660949793055
SRR2042586_trimBoth	37590784.0	32972488.0	4618296.0	87.7142865655582
SRR2042587_trimBoth	27334973.0	23477081.0	3857892.0	85.88660760703878
SRR2042588_trimBoth	29775942.0	25860249.0	3915693.0	86.84947398137732
SRR2042589_trimBoth	34083935.0	29209749.0	4874186.0	85.69946222465217
SRR2042590_trimBoth	24121159.0	20500819.0	3620340.0	84.99101971012254
SRR2042591_trimBoth	24703076.0	21282967.0	3420109.0	86.15512902117939
