Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SRR2042580	32296190.0	32266252.0	99.91	29938.0	0.09
SRR2042580_trimQuality	32266252.0	32217275.0	99.85	48977.0	0.15
SRR2042581	37986407.0	37950896.0	99.91	35511.0	0.09
SRR2042581_trimQuality	37950896.0	37923570.0	99.93	27326.0	0.07
SRR2042582	40326273.0	40282750.0	99.89	43523.0	0.11
SRR2042582_trimQuality	40282750.0	40263249.0	99.95	19501.0	0.05
SRR2042583	39694459.0	39655727.0	99.9	38732.0	0.1
SRR2042583_trimQuality	39655727.0	39578965.0	99.81	76762.0	0.19
SRR2042584	26407049.0	26370771.0	99.86	36278.0	0.14
SRR2042584_trimQuality	26370771.0	26365068.0	99.98	5703.0	0.02
SRR2042585	21613073.0	21584368.0	99.87	28705.0	0.13
SRR2042585_trimQuality	21584368.0	21577353.0	99.97	7015.0	0.03
SRR2042586	37642055.0	37610187.0	99.92	31868.0	0.08
SRR2042586_trimQuality	37610187.0	37590784.0	99.95	19403.0	0.05
SRR2042587	27373823.0	27352060.0	99.92	21763.0	0.08
SRR2042587_trimQuality	27352060.0	27334973.0	99.94	17087.0	0.06
SRR2042588	29828746.0	29796118.0	99.89	32628.0	0.11
SRR2042588_trimQuality	29796118.0	29775942.0	99.93	20176.0	0.07
SRR2042589	34153313.0	34117942.0	99.9	35371.0	0.1
SRR2042589_trimQuality	34117942.0	34083935.0	99.9	34007.0	0.1
SRR2042590	24165620.0	24133507.0	99.87	32113.0	0.13
SRR2042590_trimQuality	24133507.0	24121159.0	99.95	12348.0	0.05
SRR2042591	24745039.0	24714151.0	99.88	30888.0	0.12
SRR2042591_trimQuality	24714151.0	24703076.0	99.96	11075.0	0.04
