target_id	length	eff_length	est_counts	tpm
	427	328	0	0
	402	303	0	0
	415	316	0	0
	412	313	0	0
	439	340	0	0
	432	333	0	0
	353	254	0	0
	353	254	0	0
	473	374	0	0
	430	331	0	0
	398	299	0	0
	379	280	27	5.84985
	390	291	0	0
	349	250	0	0
	429	330	0	0
	349	250	0	0
	417	318	0	0
	602	503	0	0
	461	362	5	0.837915
	385	286	0	0
	382	283	0	0
	324	225	0	0
	439	340	0	0
	657	558	0	0
	427	328	0	0
	382	283	0	0
	411	312	0	0
	368	269	0	0
	397	298	0	0
	417	318	0	0
	353	254	0	0
	374	275	0	0
	359	260	0	0
	434	335	0	0
	358	259	0	0
	391	292	0	0
	413	314	0	0
	393	294	0	0
	517	418	0	0
	367	268	0	0
	378	279	0	0
	385	286	0	0
	397	298	0	0
	407	308	0	0
	369	270	0	0
	405	306	0	0
	389	290	1	0.20919
	419	320	0	0
	381	282	0	0
	362	263	0	0
	407	308	0	0
	353	254	0	0
	353	254	0	0
	400	301	0.999865	0.201518
	385	286	0	0
	409	310	0	0
	408	309	0	0
	532	433	0	0
	380	281	0	0
	445	346	0	0
	398	299	0	0
	409	310	0	0
	392	293	0	0
	398	299	0	0
	442	343	0	0
	378	279	0	0
	378	279	0	0
	400	301	0	0
	406	307	0	0
	390	291	0	0
	382	283	0	0
	390	291	0	0
	390	291	0	0
	324	225	0	0
	382	283	0	0
	398	299	0	0
	398	299	0	0
	312	213	0	0
	314	215	0	0
	59	60	0	0
	60	61	0	0
	60	61	0	0
	57	58	0	0
	57	58	0	0
	62	63	0	0
	63	1	0	0
	62	63	0	0
	66	1	0	0
	69	1	0	0
	60	61	0	0
	49	50	0	0
	51	52	0	0
	50	51	0	0
	48	49	0	0
	50	51	0	0
	55	56	0	0
	63	1	0	0
	60	61	0	0
	66	1	0	0
	57	58	0	0
	66	1	0	0
	63	1	0	0
	57	58	0	0
	56	57	0	0
	61	62	0	0
	60	61	0	0
	63	1	0	0
	48	49	0	0
	63	1	0	0
	63	1	0	0
	54	55	0	0
	63	1	0	0
	66	1	0	0
	63	1	0	0
	48	49	0	0
	48	49	0	0
	47	48	0	0
	50	51	0	0
	53	54	0	0
	62	63	0	0
	54	55	0	0
	46	47	0	0
	47	48	0	0
	48	49	0	0
	50	51	0	0
	53	54	0	0
	59	60	0	0
	63	1	0	0
	60	61	0	0
	60	61	0	0
	66	1	0	0
	49	50	0	0
	62	63	0	0
	61	62	0	0
	66	1	0	0
	53	54	0	0
	57	58	0	0
	63	1	0	0
	51	52	0	0
	66	1	0	0
	52	53	0	0
	65	1	0	0
	63	1	0	0
	59	60	0	0
	54	55	0	0
	60	61	0	0
	64	1	0	0
	63	1	0	0
	60	61	0	0
	60	61	0	0
	48	49	0	0
	50	51	0	0
	51	52	0	0
	50	51	0	0
	62	63	0	0
	60	61	0	0
	58	59	0	0
	59	60	0	0
	58	59	0	0
	62	63	0	0
	53	54	0	0
	50	51	0	0
	46	47	0	0
	51	52	0	0
	48	49	0	0
	51	52	0	0
	50	51	0	0
	50	51	0	0
	61	62	0	0
	60	61	0	0
	60	61	0	0
	50	51	0	0
	5157	5058	0	0
	5898	5799	2.70895e-05	2.83392e-07
	5279	5180	19.8546	0.232525
	498	399	0	0
	3421	3322	0	0
	3250	3151	0	0
	2175	2076	16.7138	0.488413
	842	743	56.4803	4.61154
	676	577	0	0
	314	215	0	0
	1115	1016	0	0
	2664	2565	0	0
	2622	2523	0	0
	2577	2478	0	0
	2457	2358	0	0
	2491	2392	0	0
	2371	2272	0	0
	2297	2198	0	0
	1915	1816	0	0
	2421	2322	0	0
	219	120	0	0
	2268	2169	0	0
	2210	2111	0.337216	0.00969078
	1205	1106	13.1863	0.723281
	711	612	1268.54	125.745
	476	377	576.707	92.8009
	2269	2170	10.8001	0.301932
	2183	2084	5.19897	0.151342
	1468	1369	12.5118	0.55444
	1015	916	0	0
	922	823	0	0
	575	476	0.147371	0.0187821
	654	555	0	0
	608	509	0	0
	956	857	75747.4	5361.98
	1042	943	55372.7	3562.23
	1542	1443	226125	9506.51
	684	585	83093.3	8616.86
	207	108	17102.5	9606.68
	681	582	88462.7	9220.95
	784	685	110198	9759.35
	346	247	14391	3534.54
	297	198	15943	4884.75
	1378	1279	156335	7415.24
	1931	1832	0	0
	1812	1713	52038.4	1842.91
	525	426	25505.3	3632.11
	1141	1042	54497.9	3172.86
	2404	2305	0	0
	353	254	80.4044	19.2037
	891	792	16595.9	1271.2
	947	848	0.426695	0.0305253
	1164	1065	188.734	10.7508
	1057	958	7.25998	0.459736
	941	842	31.3362	2.25773
	743	644	28.7166	2.70512
	680	581	42.6826	4.4567
	966	867	20.2839	1.41929
	374	275	19.4416	4.28881
	7230	7131	0	0
	6990	6891	0	0
	6757	6658	0.113824	0.00103712
	1636	1537	0	0
	4064	3965	0	0
	3609	3510	0	0
	353	254	80.4044	19.2037
	2598	2499	0	0
	2471	2372	0	0
	2392	2293	0	0
	2061	1962	0	0
	2049	1950	3.0461	0.0947649
	2016	1917	0	0
	1547	1448	0	0
	1358	1259	0	0
	3542	3443	0	0
	3573	3474	0	0
	3507	3408	0	0
	3504	3405	0	0
	2297	2198	0	0
	1915	1816	0	0
	2421	2322	0	0
	414	315	0	0
	2269	2170	10.8001	0.301932
	2183	2084	5.19897	0.151342
	4447	4348	423.755	5.9124
	935	836	60.0913	4.36057
	443	344	0	0
	1281	1182	25.2949	1.29824
	653	554	0	0
	1225	1126	0	0
	844	745	0	0
	576	477	0	0
	3593	3494	0	0
	427	328	0	0
	1859	1760	328.613	11.3269
	549	450	23.9963	3.23497
	223	124	0	0
	607	508	0	0
	595	496	31.391	3.83938
	1604	1505	0	0
	14877	14778	31.2648	0.128345
	1972	1873	399.455	12.938
	2978	2879	32.3344	0.681337
	552	453	0	0
	359	260	4.89826	1.1429
	1182	1083	392.809	22.0035
	1153	1054	11.191	0.64412
	2952	2853	3	0.0637908
	2025	1926	0	0
	2120	2021	0	0
	3519	3420	0	0
	1049	950	0	0
	5934	5835	3.3698	0.0350349
	936	837	0	0
	3309	3210	0	0
	3598	3499	118.915	2.06173
	858	759	9.05293	0.723579
	2940	2841	480.032	10.2503
	3863	3764	212.18	3.41973
	1496	1397	504.562	21.9107
	721	622	42.7122	4.16582
	788	689	1.75623e-05	1.54632e-06
	512	413	50.9165	7.47906
	1319	1220	0	0
	569	470	12.9179	1.66738
	848	749	37.0873	3.00388
	2137	2038	146.134	4.34995
	961	862	21.2956	1.49872
	1702	1603	30.8982	1.16933
	586	487	29.8522	3.71865
	468	369	20.6953	3.40239
	1177	1078	121.87	6.85829
	1686	1587	161.149	6.1601
	1740	1641	0.734662	0.0271592
	816	717	0	0
	963	864	88.6061	6.22141
	965	866	0	0
	816	717	22.5215	1.90553
	813	714	10.6735	0.906875
	2471	2372	83.0846	2.12493
	904	805	6.66624	0.50237
	664	565	0	0
	1056	957	61.1801	3.87826
	473	374	4.96571	0.805468
	892	793	26.1257	1.99864
	1165	1066	70.894	4.03451
	514	415	37.8799	5.53732
	734	635	0	0
	1193	1094	71.9315	3.98879
	728	629	0	0
	784	685	57.4139	5.0847
	4957	4858	253.404	3.16442
	517	418	17.4007	2.52539
	630	531	0	0
	1030	931	3.15609	0.205655
	524	425	0	0
	2661	2562	4.25596e-06	1.00776e-07
	725	626	2.61062	0.252993
	1052	953	32.4361	2.06478
	959	860	0	0
	873	774	0.109777	0.00860418
	482	383	0	0
	517	418	0	0
	508	409	0	0
	6200	6101	0	0
	6158	6059	0	0
	2924	2825	0	0
	1718	1619	0	0
	786	687	0	0
	475	376	0	0
	552	453	0	0
	1681	1582	6.31566	0.242187
	2136	2037	23.7291	0.70669
	1989	1890	0	0
	482	383	0.815456	0.129164
	793	694	0	0
	649	550	1	0.1103
	555	456	2	0.266075
	5567	5468	61.714	0.684689
	625	526	5.12004	0.590509
	3341	3242	0	0
	580	481	4.97359	0.627283
	729	630	3.60917	0.347541
	579	480	0	0
	584	485	1.93489	0.242021
	488	389	0	0
	5479	5380	9.64834	0.108795
	3382	3283	282.869	5.227
	3371	3272	727.895	13.4957
	4457	4358	162.442	2.26126
	815	716	117.149	9.92574
	2717	2618	25.5846	0.592853
	889	790	68.3726	5.25041
	2147	2048	0	0
	786	687	96.6881	8.53797
	775	676	0	0
	803	704	0	0
	1433	1334	0	0
	800	701	0	0
	581	482	0	0
	626	527	0	0
	1260	1161	0	0
	787	688	0	0
	1462	1363	0.723593	0.032206
	846	747	0.00248822	0.000202072
	333	234	0	0
	845	746	0.0150791	0.00122624
	738	639	0	0
	1368	1269	0	0
	477	378	0	0
	754	655	0	0
	1814	1715	0	0
	929	830	0	0
	4029	3930	37.634	0.580934
	1872	1773	0	0
	581	482	0	0
	544	445	0	0
	677	578	0	0
	557	458	3.05145	0.404184
	746	647	7.09357	0.665118
	564	465	3.9079	0.509834
	549	450	0	0
	904	805	0	0
	2237	2138	4.32791	0.122803
	2696	2597	9.60273	0.224317
	576	477	0	0
	586	487	0	0
	2395	2296	49.135	1.29825
	2825	2726	28.8842	0.642796
	1712	1613	14.7608	0.555154
	424	325	0.287663	0.0536956
	730	631	9.4247	0.906101
	927	828	7.6508	0.560551
	2631	2532	235.387	5.63971
	568	469	391.155	50.5958
	1005	906	454.341	30.4224
	2290	2191	284.658	7.88169
	2616	2517	398.006	9.59278
	2650	2551	0	0
	476	377	0	0
	1691	1592	0	0
	2412	2313	0	0
	2148	2049	0	0
	4723	4624	23.2838	0.305475
