Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct
SRR2042580	49.141929855004896	49.0	51.0	9.090909090909092	32296190.0	
SRR2042580_trimBoth	48.216638701563966	49.0	49.52890115653965	9.090909090909092	32266252.0	
SRR2042580_trimQuality	48.216638701563966	49.0	49.52890115653965	9.090909090909092	32266252.0	
SRR2042581	50.67327985930199	49.0	51.0	18.181818181818183	37986407.0	
SRR2042581_trimBoth	49.68417942485534	49.0	49.550724915691056	9.090909090909092	37950896.0	
SRR2042581_trimQuality	49.68417942485534	49.0	49.550724915691056	9.090909090909092	37950896.0	
SRR2042582	50.98899276289698	50.0	51.0	18.181818181818183	40326273.0	0.11
SRR2042582_trimBoth	50.16672791243906	50.0	49.548183577337696	18.181818181818183	40282750.0	
SRR2042582_trimQuality	50.16672791243906	50.0	49.548183577337696	18.181818181818183	40282750.0	0.0
SRR2042583	50.40883030172263	51.0	51.0	18.181818181818183	39694459.0	0.1
SRR2042583_trimBoth	49.52588985452617	51.0	49.49870504202331	9.090909090909092	39655727.0	
SRR2042583_trimQuality	49.52588985452617	51.0	49.49870504202331	9.090909090909092	39655727.0	0.0
SRR2042584	45.66908966504732	49.0	51.0	9.090909090909092	26407049.0	0.14
SRR2042584_trimBoth	44.87291817700706	49.0	49.47602502786134	9.090909090909092	26370771.0	
SRR2042584_trimQuality	44.87291817700706	49.0	49.47602502786134	9.090909090909092	26370771.0	0.0
SRR2042585	44.13013361828091	49.0	51.0	9.090909090909092	21613073.0	0.13
SRR2042585_trimBoth	43.22623257246255	49.0	49.53204476498918	9.090909090909092	21584368.0	
SRR2042585_trimQuality	43.22623257246255	49.0	49.53204476498918	9.090909090909092	21584368.0	0.0
