"","Term","Ont","N","DE","P.DE","FDR.DE"
"GO:0010037","response to carbon dioxide","BP",1,0,1,1
"GO:0140018","regulation of cytoplasmic translational fidelity","BP",1,0,1,1
"GO:1902722","positive regulation of prolactin secretion","BP",1,0,1,1
"GO:0032378","negative regulation of intracellular lipid transport","BP",1,0,1,1
"GO:0032381","negative regulation of intracellular sterol transport","BP",1,0,1,1
"GO:0032384","negative regulation of intracellular cholesterol transport","BP",1,0,1,1
"GO:0099040","ceramide translocation","BP",1,0,1,1
"GO:0150110","negative regulation of cholesterol esterification","BP",1,0,1,1
"GO:1905601","negative regulation of receptor-mediated endocytosis involved in cholesterol transport","BP",1,0,1,1
"GO:0032464","positive regulation of protein homooligomerization","BP",1,0,1,1
"GO:0140466","iron-sulfur cluster export from the mitochondrion","BP",1,0,1,1
"GO:1902497","iron-sulfur cluster transmembrane transport","BP",1,0,1,1
"GO:1903329","regulation of iron-sulfur cluster assembly","BP",1,0,1,1
"GO:1903331","positive regulation of iron-sulfur cluster assembly","BP",1,0,1,1
"GO:0002333","transitional one stage B cell differentiation","BP",1,0,1,1
"GO:0035874","cellular response to copper ion starvation","BP",1,0,1,1
"GO:0097184","response to azide","BP",1,0,1,1
"GO:0097185","cellular response to azide","BP",1,0,1,1
"GO:0120126","response to copper ion starvation","BP",1,0,1,1
"GO:0010124","phenylacetate catabolic process","BP",1,0,1,1
"GO:0006579","amino-acid betaine catabolic process","BP",1,0,1,1
"GO:0042413","carnitine catabolic process","BP",1,0,1,1
"GO:0019605","butyrate metabolic process","BP",1,0,1,1
"GO:0046359","butyrate catabolic process","BP",1,0,1,1
"GO:0072019","proximal convoluted tubule development","BP",1,0,1,1
"GO:0072229","metanephric proximal convoluted tubule development","BP",1,0,1,1
"GO:1902860","propionyl-CoA biosynthetic process","BP",1,0,1,1
"GO:0140493","very long-chain fatty acid beta-oxidation","BP",1,0,1,1
"GO:0061872","hepatic stellate cell contraction","BP",1,0,1,1
"GO:0061873","regulation of hepatic stellate cell contraction","BP",1,0,1,1
"GO:0061874","positive regulation of hepatic stellate cell contraction","BP",1,0,1,1
"GO:0051621","regulation of norepinephrine uptake","BP",1,0,1,1
"GO:0051623","positive regulation of norepinephrine uptake","BP",1,0,1,1
