"","Probe_ID","DESIGN","COLOR_CHANNEL","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Feature","Chrom","Pos"
"cg00010312","cg00010312","II","Both",1.54722603157253,-0.208360609400487,6.82326895174205,3.49461630619133e-05,0.0281719989337743,2.31757478800183,"PSD3","Body","8",18704869
"cg00054496","cg00054496","I","Red",0.718541680810992,2.74751409217907,7.54130104787618,1.43314998737228e-05,0.0156588559273028,2.99262864422605,"NUBP1","Body","16",10855688
"cg00081175","cg00081175","II","Both",-1.29668081198259,-2.95616241057948,-8.71961403359532,3.75855590124328e-06,0.00689955879378917,3.94417622858822,"MGLL","Body","3",127487265
"cg00155426","cg00155426","II","Both",-1.20391642306173,-0.242505443969695,-6.56252151765895,4.90643099127936e-05,0.035504443251949,2.0526291824636,"DDX60L","Body","4",169361929
"cg00187692","cg00187692","II","Both",2.22737045941189,0.939077738743869,10.7981381182804,4.84400061668595e-07,0.00206518784898711,5.24045536977618,"WDFY2","Body","13",52199954
"cg00194699","cg00194699","II","Both",-0.882394478227263,1.00943177381147,-8.08852352219299,7.55942107081787e-06,0.0105849434824654,3.45712366603036,"RPS6KA2","Body","6",166967128
"cg00194780","cg00194780","II","Both",0.91349822535209,0.768677970425485,6.27575390464969,7.19842031543381e-05,0.0463458204504018,1.74838969503124,"PFAS","3'UTR","17",8172728
"cg00215182","cg00215182","II","Both",1.72546334292718,-1.45427500284652,8.76170953581702,3.59241282701966e-06,0.00669236833219975,3.97493127250738,"C1QB","TSS200","1",22979495
"cg00226651","cg00226651","II","Both",0.864752866709923,-0.411557867755365,8.19662863646316,6.68743338251728e-06,0.00984663666268234,3.54412206921708,"METTL16","Body","17",2338521
"cg00240631","cg00240631","II","Both",0.604170575917831,-2.41527840923368,7.12026122032461,2.39903187241267e-05,0.0213008824189547,2.60625035656006,"SH3KBP1","Body","X",19766003
"cg00242936","cg00242936","II","Both",-1.06441845751004,-2.71443957175695,-6.84277969942895,3.40817961109032e-05,0.0275913754871169,2.33696209368874,"ITPRIP","TSS1500","10",106089307
"cg00287009","cg00287009","II","Both",-1.04966314492308,-1.22864518535609,-8.20876017177065,6.59658317821205e-06,0.00972958551102133,3.55379039429143,"SPATS2L","5'UTR","2",201273195
"cg00303773","cg00303773","II","Both",0.996476687166924,-2.62814510856877,6.96830546530084,2.90424890072953e-05,0.0246413154602868,2.46026186033236,"TOM1L2","Body","17",17752575
"cg00330253","cg00330253","II","Both",1.33477242421743,-0.675553136427559,6.2910071504276,7.05121814467923e-05,0.045672599994994,1.76491823455473,"ABCC4","Body","13",95833155
"cg00334362","cg00334362","II","Both",0.739550300367363,-1.49354686697617,6.71769453368965,4.00512098651122e-05,0.0305896291303288,2.21161841796364,"PHACTR1","Body","6",13269555
"cg00364026","cg00364026","II","Both",1.47021315147766,-0.0642130825852276,9.59505368101093,1.51780637074621e-06,0.00405193777869158,4.54280449947202,"HERC1","5'UTR","15",64122626
"cg00443121","cg00443121","II","Both",0.682667582486044,0.188485674988946,7.12161459880574,2.39498204062948e-05,0.0213008824189547,2.60753468767547,"DOK2","Body","8",21770233
"cg00456065","cg00456065","II","Both",0.902132944257933,1.83389131580841,8.79865856930595,3.45312581925404e-06,0.00659048673898261,4.00175474292514,"PI4K2A","Body","10",99410803
